date,BIST100,USD_TRY,advancing_stocks,declining_stocks,CPI,CBRT_Rate,5Y_CDS_Spread
2014-01-02,669.8544311523438,2.146399974822998,4,6,7.4,4.5,244.42
2014-01-03,659.6675415039062,2.1686699390411377,2,8,7.4,4.5,236.91
2014-01-06,680.2163696289062,2.1749000549316406,10,1,7.4,4.5,227.34
2014-01-07,685.9823608398438,2.1695799827575684,9,1,7.4,4.5,216.5
2014-01-08,673.3134155273438,2.1659700870513916,0,10,7.4,4.5,234.93
2014-01-09,664.1324462890625,2.1834700107574463,4,6,7.4,4.5,238.15
2014-01-10,679.1173706054688,2.1769700050354004,9,1,7.4,4.5,233.64
2014-01-13,680.619384765625,2.163749933242798,7,2,7.4,4.5,237.6
2014-01-14,680.7213745117188,2.1784300804138184,3,6,7.4,4.5,238.0
2014-01-15,681.3424072265625,2.1819698810577393,5,5,7.4,4.5,236.07
2014-01-16,668.4324340820312,2.189069986343384,2,8,7.4,4.5,237.28
2014-01-17,656.3464965820312,2.2062699794769287,2,8,7.4,4.5,244.17
2014-01-20,657.6325073242188,2.2332699298858643,4,6,7.4,4.5,245.7
2014-01-21,663.1834716796875,2.2386701107025146,6,4,7.4,4.5,242.0
2014-01-22,673.6693725585938,2.251270055770874,9,1,7.4,4.5,244.0
2014-01-23,654.28955078125,2.258270025253296,0,10,7.4,4.5,260.26
2014-01-24,644.2716064453125,2.2902700901031494,1,9,7.4,4.5,270.86
2014-01-27,645.68359375,2.329770088195801,5,4,7.4,4.5,264.51
2014-01-28,635.4336547851562,2.2797698974609375,1,9,7.4,4.5,259.82
2014-01-29,620.8837280273438,2.185770034790039,3,7,7.4,4.5,254.33
2014-01-30,627.0106811523438,2.2593600749969482,7,2,7.4,10.0,257.07
2014-01-31,618.5786743164062,2.2637500762939453,2,7,7.75,10.0,267.6
2014-02-03,616.7487182617188,2.2598700523376465,6,3,7.75,10.0,272.18
2014-02-04,627.3236694335938,2.276520013809204,9,1,7.75,10.0,258.12
2014-02-05,624.4216918945312,2.2358999252319336,3,5,7.75,10.0,253.15
2014-02-06,645.49560546875,2.2365500926971436,9,1,7.75,10.0,243.29
2014-02-07,646.1395874023438,2.207469940185547,6,4,7.75,10.0,244.88
2014-02-10,640.4985961914062,2.2182300090789795,0,9,7.75,10.0,253.14
2014-02-11,642.8035888671875,2.2115700244903564,5,4,7.75,10.0,245.01
2014-02-12,645.1336059570312,2.1919898986816406,6,3,7.75,10.0,242.38
2014-02-13,637.6466674804688,2.187570095062256,2,8,7.75,10.0,247.52
2014-02-14,648.8255615234375,2.182990074157715,8,2,7.75,10.0,242.34
2014-02-17,655.988525390625,2.1786699295043945,6,2,7.75,10.0,236.57
2014-02-18,641.2536010742188,2.1760900020599365,0,10,7.75,10.0,241.3
2014-02-19,633.817626953125,2.1771700382232666,0,10,7.75,10.0,242.96
2014-02-20,636.806640625,2.2117600440979004,5,3,7.75,10.0,238.34
2014-02-21,638.8526000976562,2.1991000175476074,7,2,7.75,10.0,230.14
2014-02-24,641.8565673828125,2.1768600940704346,7,2,7.75,10.0,214.87
2014-02-25,621.2346801757812,2.2000699043273926,0,10,7.75,10.0,222.15
2014-02-26,615.0267944335938,2.211250066757202,2,8,7.75,10.0,236.23
2014-02-27,617.7886962890625,2.2329299449920654,6,3,7.75,10.0,232.65
2014-02-28,625.5297241210938,2.2108700275421143,8,1,7.75,10.0,219.96
2014-03-03,611.8887939453125,2.227760076522827,2,7,7.89,10.0,238.67
2014-03-04,630.3036499023438,2.227570056915283,9,1,7.89,10.0,227.12
2014-03-05,634.4436645507812,2.2051799297332764,5,4,7.89,10.0,216.75
2014-03-06,640.03857421875,2.201669931411743,6,3,7.89,10.0,216.67
2014-03-07,630.9566650390625,2.178410053253174,2,8,7.89,10.0,218.78
2014-03-10,627.3116455078125,2.2028698921203613,1,8,7.89,10.0,220.94
2014-03-11,630.6526489257812,2.2177700996398926,4,5,7.89,10.0,233.78
2014-03-12,632.5826416015625,2.243459939956665,5,3,7.89,10.0,245.95
2014-03-13,633.4506225585938,2.23157000541687,7,1,7.89,10.0,250.35
2014-03-14,632.78564453125,2.233259916305542,3,5,7.89,10.0,246.64
2014-03-17,641.974609375,2.2207601070404053,10,1,7.89,10.0,243.69
2014-03-18,655.7315063476562,2.2185699939727783,9,1,7.89,10.0,241.31
2014-03-19,654.8674926757812,2.216670036315918,5,4,7.89,10.0,239.88
2014-03-20,652.6105346679688,2.2376298904418945,3,7,7.89,10.0,254.81
2014-03-21,645.7905883789062,2.2303600311279297,2,8,7.89,10.0,256.77
2014-03-24,637.1016235351562,2.234999895095825,1,9,7.89,10.0,262.03
2014-03-25,646.9616088867188,2.2361600399017334,9,1,7.89,10.0,255.08
2014-03-26,677.3043823242188,2.215480089187622,10,1,7.89,10.0,243.3
2014-03-27,670.48046875,2.1905100345611572,1,8,7.89,10.0,229.85
2014-03-28,691.1693115234375,2.1836700439453125,10,1,7.89,10.0,218.46
